id,target,target_clip_id,freq_rank,axis,target_feature,option_1,option_2,option_3,option_4,correct_option,difficulty,southern_merged
03166,xung,v06334,1029,onset,x,xung,sung,trung,chung,1,medium,0
03167,xung,v06334,1029,final,ng,xung,xun,xu,xum,1,medium,0
03168,liền,v02403,1030,tone,huyen,liền,liên,liện,liễn,1,hard,0
03169,liền,v02403,1030,vowel,iê,liền,lền,lần,làn,1,medium,0
03170,liền,v02403,1030,onset,l,liền,niền,tiền,miền,1,medium,0
03171,liền,v02403,1030,final,n,liền,liềng,liều,liềm,1,medium,0
03172,tồn,v05937,1031,tone,huyen,tồn,tôn,tổn,tốn,1,hard,0
03173,tồn,v05937,1031,vowel,ô,tồn,tuồn,tòn,tiền,1,hard,0
03174,tồn,v05937,1031,onset,t,tồn,đồn,hồn,dồn,1,easy,0
03175,tồn,v05937,1031,final,n,tồn,tồng,tồi,tồ,1,medium,0
03176,trấn,v05591,1032,tone,sac,trấn,trận,trân,trần,1,hard,0
03177,trấn,v05591,1032,vowel,â,trấn,trớn,trốn,trán,1,medium,0
03178,trấn,v05591,1032,onset,tr,trấn,chấn,vấn,tấn,1,medium,0
03179,bào,v00087,1033,tone,huyen,bào,bảo,bao,bạo,1,hard,0
03180,bào,v00087,1033,onset,b,bào,vào,nào,đào,1,easy,0
03181,bào,v00087,1033,final,o,bào,bà,bài,bàn,1,easy,0
03182,đích,v06739,1034,onset,đ,đích,tích,thích,ích,1,easy,0
03183,đích,v06739,1034,final,ch,đích,đít,đính,đíp,1,medium,0
03184,tuyệt,v05699,1035,onset,t,tuyệt,duyệt,nguyệt,huyệt,1,easy,0
03185,buồn,v00074,1036,vowel,uô,buồn,bồn,bàn,bền,1,medium,0
03186,buồn,v00074,1036,onset,b,buồn,nguồn,tuồn,luồn,1,easy,0
03187,bồi,v00306,1037,tone,huyen,bồi,bội,bôi,bổi,1,hard,0
03188,bồi,v00306,1037,onset,b,bồi,rồi,hồi,ngồi,1,easy,0
03189,bồi,v00306,1037,final,i,bồi,bồ,bồn,bồng,1,easy,0
03190,hạng,v01879,1038,tone,nang,hạng,hàng,háng,hãng,1,hard,0
03191,hạng,v01879,1038,onset,h,hạng,trạng,mạng,dạng,1,easy,0
03192,hạng,v01879,1038,final,ng,hạng,hạn,hạnh,hại,1,hard,0
03193,giết,v01453,1039,vowel,ê,giết,giắt,giát,giót,1,easy,0
03194,giết,v01453,1039,onset,gi,giết,rết,kết,hết,1,medium,0
03195,ngắn,v03355,1040,vowel,ă,ngắn,ngán,ngón,ngốn,1,medium,0
03196,ngắn,v03355,1040,onset,ng,ngắn,gắn,chắn,mắn,1,easy,0
03197,ngắn,v03355,1040,final,n,ngắn,ngắm,ngắt,ngắc,1,easy,0
03198,đợt,v06935,1041,vowel,ơ,đợt,đột,đật,đạt,1,hard,0
03199,đợt,v06935,1041,onset,đ,đợt,chợt,vợt,nhợt,1,easy,0
03200,đợt,v06935,1041,final,t,đợt,đợi,đợ,đợn,1,easy,0
03201,vườn,v06141,1042,vowel,ươ,vườn,vờn,vàn,vần,1,medium,0
03202,vườn,v06141,1042,onset,v,vườn,sườn,trườn,lườn,1,easy,0
03203,chắn,v00620,1043,tone,sac,chắn,chặn,chăn,chẵn,1,hard,0
03204,chắn,v00620,1043,vowel,ă,chắn,chán,chiến,chấn,1,medium,0
03205,chắn,v00620,1043,onset,ch,chắn,gắn,ngắn,mắn,1,easy,0
03206,chắn,v00620,1043,final,n,chắn,chắc,chắt,chắp,1,easy,0
03207,thải,v05251,1044,tone,hoi,thải,thài,thái,thai,1,medium,0
03208,thải,v05251,1044,onset,th,thải,tải,phải,giải,1,medium,0
03209,thải,v05251,1044,final,i,thải,thảo,thảm,thả,1,easy,0
03210,cấm,v00878,1045,tone,sac,cấm,câm,cầm,cẩm,1,medium,0
03211,cấm,v00878,1045,vowel,â,cấm,cớm,cắm,cám,1,medium,0
03212,cấm,v00878,1045,onset,c,cấm,tấm,ấm,chấm,1,easy,0
03213,cấm,v00878,1045,final,m,cấm,cấp,cấu,cất,1,easy,0
03214,miễn,v02836,1046,tone,nga,miễn,miến,miền,miện,1,medium,0
03215,miễn,v02836,1046,onset,m,miễn,diễn,viễn,tiễn,1,easy,0
03216,phước,v04128,1047,vowel,ươ,phước,phúc,phức,phác,1,easy,0
03217,phước,v04128,1047,onset,ph,phước,nước,trước,bước,1,easy,0
03218,quà,v04325,1048,tone,huyen,quà,qua,quả,quạ,1,hard,0
03219,quà,v04325,1048,vowel,a,quà,quỳ,què,quờ,1,easy,0
03220,quà,v04325,1048,onset,qu,quà,và,là,nhà,1,easy,0
03221,quà,v04325,1048,final,,quà,quàng,quàn,quài,1,easy,0
03222,trận,v05601,1049,tone,nang,trận,trần,trấn,trân,1,hard,0
03223,trận,v05601,1049,vowel,â,trận,trợn,trộn,trọn,1,medium,0
03224,trận,v05601,1049,onset,tr,trận,chận,nhận,quận,1,medium,0
03225,nắng,v03893,1050,tone,sac,nắng,năng,nặng,nẵng,1,hard,0
03226,nắng,v03893,1050,vowel,ă,nắng,náng,nóng,nướng,1,medium,0
03227,nắng,v03893,1050,onset,n,nắng,lắng,thắng,trắng,1,medium,0
03228,nắng,v03893,1050,final,ng,nắng,nắn,nắm,nắp,1,medium,0
03229,mái,v02884,1051,tone,sac,mái,mai,mại,mãi,1,hard,0
03230,mái,v02884,1051,vowel,a,mái,mới,mối,muối,1,easy,0
03231,mái,v02884,1051,onset,m,mái,cái,gái,thái,1,easy,0
03232,mái,v02884,1051,final,i,mái,máy,máu,mát,1,easy,0
03233,mạch,v02987,1052,onset,m,mạch,sạch,bạch,thạch,1,easy,0
03234,mạch,v02987,1052,final,ch,mạch,mạc,mạt,mạnh,1,hard,0
03235,bạch,v00198,1053,onset,b,bạch,sạch,mạch,thạch,1,easy,0
03236,bạch,v00198,1053,final,ch,bạch,bạc,bạt,bạn,1,hard,0
03237,bãi,v00108,1054,tone,nga,bãi,bái,bài,bại,1,medium,0
03238,bãi,v00108,1054,onset,b,bãi,lãi,mãi,đãi,1,easy,0
03239,trà,v05492,1055,tone,huyen,trà,tra,trả,trá,1,hard,0
03240,trà,v05492,1055,vowel,a,trà,trò,trì,trừ,1,easy,0
03241,trà,v05492,1055,onset,tr,trà,chà,và,là,1,medium,0
03242,trà,v05492,1055,final,,trà,tràn,trào,tràng,1,easy,0
03243,mơ,v02969,1056,tone,ngang,mơ,mờ,mớ,mở,1,hard,0
03244,mơ,v02969,1056,vowel,ơ,mơ,mô,mua,mưa,1,medium,0
03245,mơ,v02969,1056,onset,m,mơ,cơ,sơ,thơ,1,easy,0
03246,nắm,v03891,1057,tone,sac,nắm,năm,nặm,nằm,1,hard,0
03247,nắm,v03891,1057,vowel,ă,nắm,nám,ném,nấm,1,medium,0
03248,nắm,v03891,1057,onset,n,nắm,lắm,tắm,sắm,1,medium,0
03249,nắm,v03891,1057,final,m,nắm,nắng,nắp,nắn,1,easy,0
03250,chữ,v00733,1058,tone,nga,chữ,chứ,chư,chừ,1,medium,0
03251,chữ,v00733,1058,vowel,ư,chữ,chũ,chỗ,chữa,1,medium,0
03252,chữ,v00733,1058,onset,ch,chữ,trữ,nữ,giữ,1,medium,0
03253,phẫu,v04159,1059,onset,ph,phẫu,mẫu,ngẫu,dẫu,1,easy,0
03254,rượu,v04590,1060,final,u,rượu,rượt,rượi,rược,1,easy,0
03255,buôn,v00067,1061,vowel,uô,buôn,bôn,ban,bên,1,medium,0
03256,buôn,v00067,1061,onset,b,buôn,luôn,khuôn,muôn,1,easy,0
03257,phận,v04161,1062,tone,nang,phận,phần,phấn,phân,1,hard,0
03258,phận,v04161,1062,onset,ph,phận,nhận,quận,vận,1,easy,0
03259,phận,v04161,1062,final,n,phận,phật,phập,phậm,1,easy,0
03260,hơi,v01856,1063,tone,ngang,hơi,hới,hời,hợi,1,hard,0
03261,hơi,v01856,1063,vowel,ơ,hơi,hôi,hai,huôi,1,medium,0
03262,hơi,v01856,1063,onset,h,hơi,nơi,chơi,rơi,1,easy,0
03263,hy,v01759,1064,tone,ngang,hy,hý,hỳ,hỷ,1,hard,0
03264,hy,v01759,1064,vowel,y,hy,ho,ha,hư,1,easy,0
03265,hy,v01759,1064,onset,h,hy,quy,ty,y,1,easy,0
03266,hào,v01766,1065,tone,huyen,hào,hảo,hao,hạo,1,hard,0
03267,hào,v01766,1065,onset,h,hào,vào,nào,đào,1,easy,0
03268,hào,v01766,1065,final,o,hào,hàng,hành,hà,1,easy,0
03269,đem,v06632,1066,vowel,e,đem,đêm,đâm,đam,1,medium,0
03270,đem,v06632,1066,onset,đ,đem,em,xem,kem,1,easy,0
03271,đem,v06632,1066,final,m,đem,đen,đe,đeo,1,easy,0
03272,nửa,v03969,1067,tone,hoi,nửa,nữa,nứa,nưa,1,easy,1
03273,nửa,v03969,1067,vowel,ưa,nửa,nổ,nở,nể,1,easy,0
03274,nửa,v03969,1067,onset,n,nửa,lửa,cửa,sửa,1,medium,0
03275,trưng,v05567,1068,vowel,ư,trưng,trung,trong,trang,1,medium,0
03276,trưng,v05567,1068,onset,tr,trưng,chưng,nhưng,hưng,1,medium,0
03277,mừng,v03119,1069,vowel,ư,mừng,mùng,màng,mường,1,medium,0
03278,mừng,v03119,1069,onset,m,mừng,từng,dừng,rừng,1,easy,0
03279,khổ,v02254,1070,vowel,ô,khổ,khỏ,khả,khỉ,1,medium,0
03280,khổ,v02254,1070,onset,kh,khổ,tổ,cổ,bổ,1,easy,0
03281,tươi,v05825,1071,vowel,ươ,tươi,tơi,tôi,tai,1,medium,0
03282,tươi,v05825,1071,onset,t,tươi,mươi,rươi,ngươi,1,easy,0
03283,trinh,v05449,1072,tone,ngang,trinh,trình,trính,trịnh,1,hard,0
03284,trinh,v05449,1072,onset,tr,trinh,chinh,sinh,kinh,1,medium,0
03285,khấu,v02202,1073,tone,sac,khấu,khâu,khẩu,khầu,1,medium,0
03286,khấu,v02202,1073,vowel,â,khấu,khiếu,kháu,khứu,1,easy,0
03287,khấu,v02202,1073,onset,kh,khấu,đấu,dấu,cấu,1,easy,0
03288,khấu,v02202,1073,final,u,khấu,khất,khấn,khấm,1,easy,0
03289,ngã,v03277,1074,tone,nga,ngã,nga,ngà,ngả,1,easy,1
03290,ngã,v03277,1074,vowel,a,ngã,ngữ,ngũ,ngõ,1,easy,0
03291,ngã,v03277,1074,onset,ng,ngã,đã,xã,mã,1,easy,0
03292,băng,v00172,1075,tone,ngang,băng,bằng,bắng,bẵng,1,hard,0
03293,băng,v00172,1075,vowel,ă,băng,bang,bông,buông,1,medium,0
03294,băng,v00172,1075,onset,b,băng,tăng,năng,đăng,1,easy,0
03295,bây,v00106,1076,tone,ngang,bây,bấy,bầy,bẫy,1,hard,0
03296,bây,v00106,1076,onset,b,bây,đây,xây,gây,1,easy,0
03297,bây,v00106,1076,final,y,bây,bâng,bân,bâu,1,easy,0
03298,đen,v06633,1077,tone,ngang,đen,đèn,đén,đẻn,1,hard,0
03299,đen,v06633,1077,vowel,e,đen,đên,đơn,đan,1,medium,0
03300,đen,v06633,1077,onset,đ,đen,quen,khen,ven,1,easy,0
03301,đen,v06633,1077,final,n,đen,đeng,đem,đe,1,medium,0
03302,nổ,v03942,1078,tone,hoi,nổ,nỗ,nô,nộ,1,easy,1
03303,nổ,v03942,1078,vowel,ô,nổ,nở,nỏ,nửa,1,hard,0
03304,nổ,v03942,1078,onset,n,nổ,lổ,tổ,cổ,1,medium,0
03305,huế,v01748,1079,tone,sac,huế,huệ,huê,huề,1,hard,0
03306,huế,v01748,1079,onset,h,huế,thuế,nhuế,uế,1,easy,0
03307,xế,v06472,1080,tone,sac,xế,xê,xệ,xề,1,hard,0
03308,xế,v06472,1080,vowel,ê,xế,xé,xứ,xá,1,medium,0
03309,xế,v06472,1080,onset,x,xế,thế,tế,chế,1,easy,0
03310,xế,v06472,1080,final,,xế,xếp,xếch,xếnh,1,easy,0
03311,trúng,v05552,1081,tone,sac,trúng,trung,trũng,trụng,1,hard,0
03312,trúng,v05552,1081,vowel,u,trúng,trứng,trắng,trống,1,medium,0
03313,trúng,v05552,1081,onset,tr,trúng,chúng,đúng,súng,1,medium,0
03314,trúng,v05552,1081,final,ng,trúng,trú,trúc,trút,1,easy,0
03315,hoang,v01683,1082,onset,h,hoang,khoang,xoang,loang,1,easy,0
03316,hoang,v01683,1082,final,ng,hoang,hoan,hoanh,hoa,1,hard,0
03317,kêu,v02320,1083,onset,k,kêu,nêu,trêu,thêu,1,easy,0
03318,kêu,v02320,1083,final,u,kêu,kê,kênh,kên,1,easy,0
03319,bữa,v00358,1084,tone,nga,bữa,bứa,bừa,bựa,1,medium,0
03320,bữa,v00358,1084,vowel,ưa,bữa,bã,bỡ,bẽ,1,easy,0
03321,bữa,v00358,1084,onset,b,bữa,giữa,nữa,chữa,1,easy,0
03322,tùng,v05804,1085,tone,huyen,tùng,tung,tụng,tủng,1,hard,0
03323,tùng,v05804,1085,vowel,u,tùng,từng,tầng,tường,1,medium,0
03324,tùng,v05804,1085,onset,t,tùng,thùng,cùng,dùng,1,medium,0
03325,vết,v06202,1086,vowel,ê,vết,viết,vét,vất,1,hard,0
03326,vết,v06202,1086,onset,v,vết,kết,hết,chết,1,easy,0
03327,dõi,v01139,1087,tone,nga,dõi,dòi,doi,dọi,1,easy,0
03328,dõi,v01139,1087,onset,d,dõi,lõi,cõi,sõi,1,easy,0
03329,bờ,v00326,1088,tone,huyen,bờ,bơ,bợ,bở,1,hard,0
03330,bờ,v00326,1088,vowel,ơ,bờ,bồ,bà,bè,1,medium,0
03331,bờ,v00326,1088,onset,b,bờ,giờ,ngờ,nhờ,1,easy,0
03332,chiếu,v00401,1089,tone,sac,chiếu,chiêu,chiều,chiểu,1,medium,0
03333,chiếu,v00401,1089,vowel,iê,chiếu,chếu,cháu,chấu,1,medium,0
03334,chiếu,v00401,1089,onset,ch,chiếu,thiếu,phiếu,hiếu,1,easy,0
03335,chiếu,v00401,1089,final,u,chiếu,chiếc,chiến,chiếm,1,easy,0
03336,lượt,v02615,1090,vowel,ươ,lượt,lợt,liệt,lọt,1,medium,0
03337,lượt,v02615,1090,onset,l,lượt,vượt,trượt,phượt,1,easy,0
03338,lượt,v02615,1090,final,t,lượt,lược,lượng,lượn,1,medium,0
03339,lào,v02492,1091,tone,huyen,lào,lao,lảo,lạo,1,hard,0
03340,lào,v02492,1091,onset,l,lào,nào,vào,đào,1,medium,0
03341,lào,v02492,1091,final,o,lào,là,làm,làng,1,easy,0
03342,thăng,v05222,1092,tone,ngang,thăng,thắng,thằng,thẳng,1,hard,0
03343,thăng,v05222,1092,vowel,ă,thăng,thang,thông,thương,1,medium,0
03344,thăng,v05222,1092,onset,th,thăng,tăng,năng,đăng,1,medium,0
03345,chút,v00551,1093,vowel,u,chút,chứt,chất,chết,1,medium,0
03346,chút,v00551,1093,onset,ch,chút,trút,hút,phút,1,medium,0
03347,chút,v00551,1093,final,t,chút,chúc,chúng,chú,1,medium,0
03348,cơm,v00841,1094,vowel,ơ,cơm,câm,côm,cam,1,hard,0
03349,cơm,v00841,1094,onset,c,cơm,thơm,bơm,rơm,1,easy,0
03350,cơm,v00841,1094,final,m,cơm,cơ,cơn,cơi,1,easy,0
03351,kháng,v02128,1095,tone,sac,kháng,khang,khạng,khảng,1,hard,0
03352,kháng,v02128,1095,vowel,a,kháng,khắng,khống,khuống,1,medium,0
03353,kháng,v02128,1095,onset,kh,kháng,tháng,sáng,đáng,1,easy,0
03354,kháng,v02128,1095,final,ng,kháng,khán,khánh,khác,1,hard,0
03355,tấm,v05856,1096,tone,sac,tấm,tâm,tậm,tầm,1,hard,0
03356,tấm,v05856,1096,vowel,â,tấm,tắm,tám,tím,1,easy,0
03357,tấm,v05856,1096,onset,t,tấm,thấm,cấm,ấm,1,medium,0
03358,tấm,v05856,1096,final,m,tấm,tất,tấn,tấu,1,easy,0
03359,chậm,v00612,1097,tone,nang,chậm,chấm,chầm,châm,1,hard,0
03360,chậm,v00612,1097,vowel,â,chậm,chạm,chụm,chẹm,1,easy,0
03361,chậm,v00612,1097,onset,ch,chậm,thậm,đậm,ngậm,1,easy,0
03362,chậm,v00612,1097,final,m,chậm,chậu,chật,chập,1,easy,0
03363,thoả,v05101,1098,tone,hoi,thoả,thoa,thoá,thoã,1,easy,1
03364,thoả,v05101,1098,onset,th,thoả,toả,hoả,khoả,1,medium,0
03365,thoả,v05101,1098,final,,thoả,thoải,thoảng,thoản,1,easy,0
03366,trộm,v05654,1099,onset,tr,trộm,cộm,nộm,rộm,1,easy,0
03367,trộm,v05654,1099,final,m,trộm,trộn,trội,trộc,1,easy,0
03368,sàng,v04791,1100,tone,huyen,sàng,sang,sảng,sáng,1,hard,0
03369,sàng,v04791,1100,vowel,a,sàng,sằng,sừng,sòng,1,medium,0
03370,sàng,v04791,1100,onset,s,sàng,hàng,vàng,càng,1,easy,0
03371,sàng,v04791,1100,final,ng,sàng,sàn,sành,sài,1,hard,0
03372,lũ,v02587,1101,tone,nga,lũ,lú,lu,lù,1,medium,0
03373,lũ,v02587,1101,vowel,u,lũ,lữ,lễ,lẽ,1,medium,0
03374,lũ,v02587,1101,onset,l,lũ,vũ,cũ,ngũ,1,easy,0
03375,ơn,v06959,1102,vowel,ơ,ơn,ân,ôn,ươn,1,hard,0
03376,ơn,v06959,1102,onset,,ơn,hơn,đơn,sơn,1,easy,0
03377,ơn,v06959,1102,final,n,ơn,ơi,ơ,ơm,1,easy,0
03378,ngụ,v03395,1103,tone,nang,ngụ,ngủ,ngũ,ngu,1,easy,0
03379,ngụ,v03395,1103,vowel,u,ngụ,ngự,ngộ,ngựa,1,medium,0
03380,ngụ,v03395,1103,onset,ng,ngụ,vụ,phụ,cụ,1,easy,0
03381,ngụ,v03395,1103,final,,ngụ,ngục,ngụt,ngụm,1,easy,0
03382,nghìn,v03182,1104,onset,ngh,nghìn,nhìn,gìn,mìn,1,easy,0
03383,sạn,v04889,1105,tone,nang,sạn,sàn,sán,sản,1,hard,0
03384,sạn,v04889,1105,onset,s,sạn,bạn,nạn,hạn,1,easy,0
03385,sạn,v04889,1105,final,n,sạn,sạnh,sạch,sạt,1,medium,0
03386,hằng,v01912,1106,tone,huyen,hằng,hăng,hắng,hẵng,1,medium,0
03387,hằng,v01912,1106,vowel,ă,hằng,hàng,hồng,hùng,1,medium,0
03388,hằng,v01912,1106,onset,h,hằng,bằng,rằng,đằng,1,easy,0
03389,nỗi,v03945,1107,tone,nga,nỗi,nối,nội,nổi,1,medium,1
03390,nỗi,v03945,1107,onset,n,nỗi,lỗi,mỗi,rỗi,1,medium,0
03391,ngô,v03291,1108,tone,ngang,ngô,ngố,ngồ,ngộ,1,hard,0
03392,ngô,v03291,1108,vowel,ô,ngô,ngo,ngơ,nga,1,hard,0
03393,ngô,v03291,1108,onset,ng,ngô,cô,vô,đô,1,easy,0
03394,ngô,v03291,1108,final,,ngô,ngôi,ngôn,ngông,1,easy,0
03395,âu,v06566,1109,tone,ngang,âu,ấu,ầu,ẩu,1,hard,0
03396,âu,v06566,1109,vowel,â,âu,yêu,ưu,au,1,easy,0
03397,âu,v06566,1109,onset,,âu,câu,châu,lâu,1,easy,0
03398,âu,v06566,1109,final,u,âu,âm,ân,ây,1,easy,0
03399,gương,v01551,1110,vowel,ươ,gương,gang,găng,gong,1,easy,0
03400,gương,v01551,1110,onset,g,gương,phương,thương,chương,1,easy,0
03401,chàng,v00471,1111,tone,huyen,chàng,chang,chạng,chảng,1,hard,0
03402,chàng,v00471,1111,vowel,a,chàng,chằng,chồng,chừng,1,medium,0
03403,chàng,v00471,1111,onset,ch,chàng,tràng,hàng,vàng,1,medium,0
03404,chàng,v00471,1111,final,ng,chàng,chành,chào,chà,1,medium,0
03405,trúc,v05550,1112,vowel,u,trúc,trức,trước,trắc,1,medium,0
03406,trúc,v05550,1112,onset,tr,trúc,chúc,lúc,phúc,1,medium,0
03407,trúc,v05550,1112,final,c,trúc,trút,trú,trúng,1,medium,0
03408,vương,v06139,1113,tone,ngang,vương,vướng,vường,vượng,1,hard,0
03409,vương,v06139,1113,vowel,ươ,vương,vong,vang,văng,1,easy,0
03410,vương,v06139,1113,onset,v,vương,dương,phương,thương,1,medium,0
03411,ngược,v03319,1114,vowel,ươ,ngược,ngọc,ngực,ngạc,1,easy,0
03412,ngược,v03319,1114,onset,ng,ngược,được,lược,dược,1,easy,0
03413,cơn,v00842,1115,tone,ngang,cơn,cờn,cợn,cỡn,1,medium,0
03414,cơn,v00842,1115,vowel,ơ,cơn,cân,côn,cươn,1,hard,0
03415,cơn,v00842,1115,onset,c,cơn,hơn,đơn,sơn,1,easy,0
03416,cơn,v00842,1115,final,n,cơn,cơ,cơm,cơi,1,easy,0
03417,kẻ,v02342,1116,tone,hoi,kẻ,kè,kẽ,ke,1,medium,1
03418,kẻ,v02342,1116,vowel,e,kẻ,kể,kỷ,kỉ,1,medium,0
03419,kẻ,v02342,1116,onset,k,kẻ,trẻ,sẻ,vẻ,1,easy,0
03420,bật,v00234,1117,vowel,â,bật,bợt,biệt,bột,1,medium,0
03421,bật,v00234,1117,onset,b,bật,vật,thật,nhật,1,easy,0
03422,bật,v00234,1117,final,t,bật,bậc,bận,bậy,1,medium,0
03423,đinh,v06639,1118,tone,ngang,đinh,đình,đính,định,1,hard,0
03424,đinh,v06639,1118,onset,đ,đinh,sinh,kinh,minh,1,easy,0
03425,ngập,v03350,1119,vowel,â,ngập,ngợp,ngụp,ngộp,1,medium,0
03426,ngập,v03350,1119,onset,ng,ngập,tập,nhập,lập,1,easy,0
03427,ngập,v03350,1119,final,p,ngập,ngậm,ngậy,ngật,1,easy,0
03428,khóc,v02157,1120,vowel,o,khóc,khốc,khác,khắc,1,medium,0
03429,khóc,v02157,1120,onset,kh,khóc,sóc,tóc,góc,1,easy,0
03430,nỗ,v03944,1121,tone,nga,nỗ,nổ,nô,nộ,1,easy,1
03431,nỗ,v03944,1121,vowel,ô,nỗ,nỡ,nõ,nữ,1,hard,0
03432,nỗ,v03944,1121,onset,n,nỗ,lỗ,hỗ,chỗ,1,medium,0
03433,hạt,v01883,1122,vowel,a,hạt,hụt,hệt,hột,1,easy,0
03434,hạt,v01883,1122,onset,h,hạt,đạt,phạt,lạt,1,easy,0
03435,hạt,v01883,1122,final,t,hạt,hạch,hạc,hạn,1,hard,0
03436,đoạt,v06678,1123,onset,đ,đoạt,hoạt,loạt,thoạt,1,easy,0
03437,ngàn,v03258,1124,tone,huyen,ngàn,ngan,ngạn,ngán,1,hard,0
03438,ngàn,v03258,1124,vowel,a,ngàn,ngằn,nguồn,ngần,1,medium,0
03439,ngàn,v03258,1124,onset,ng,ngàn,bàn,đàn,hàn,1,easy,0
03440,ngàn,v03258,1124,final,n,ngàn,ngành,ngàng,ngày,1,hard,0
03441,thao,v05047,1125,tone,ngang,thao,tháo,thào,thảo,1,hard,0
03442,thao,v05047,1125,onset,th,thao,tao,cao,giao,1,medium,0
03443,thao,v05047,1125,final,o,thao,thanh,tham,thay,1,easy,0
03444,kính,v02330,1126,tone,sac,kính,kinh,kỉnh,kình,1,medium,0
03445,kính,v02330,1126,onset,k,kính,chính,tính,dính,1,easy,0
03446,kính,v02330,1126,final,nh,kính,kín,kích,kíp,1,medium,0
03447,ràng,v04492,1127,tone,huyen,ràng,rạng,rang,rảng,1,hard,0
03448,ràng,v04492,1127,vowel,a,ràng,rằng,rừng,rồng,1,medium,0
03449,ràng,v04492,1127,onset,r,ràng,dàng,giàng,hàng,1,hard,0
03450,ràng,v04492,1127,final,ng,ràng,rành,ràn,rào,1,hard,0
03451,hè,v01793,1128,tone,huyen,hè,he,hẹ,hé,1,hard,0
03452,hè,v01793,1128,vowel,e,hè,hề,hà,hồ,1,medium,0
03453,hè,v01793,1128,onset,h,hè,bè,chè,đè,1,easy,0
03454,hè,v01793,1128,final,,hè,hèn,hèm,hèo,1,easy,0
03455,chào,v00473,1129,tone,huyen,chào,chảo,chao,chạo,1,hard,0
03456,chào,v00473,1129,onset,ch,chào,trào,vào,nào,1,medium,0
03457,chào,v00473,1129,final,o,chào,chàng,chà,chài,1,easy,0
03458,bò,v00139,1130,tone,huyen,bò,bỏ,bọ,bo,1,hard,0
03459,bò,v00139,1130,vowel,o,bò,bồ,bà,bè,1,medium,0
03460,bò,v00139,1130,onset,b,bò,trò,lò,gò,1,easy,0
03461,nhuận,v03482,1131,onset,nh,nhuận,luận,thuận,tuận,1,easy,0
03462,mã,v02897,1133,tone,nga,mã,má,mà,ma,1,medium,0
03463,mã,v02897,1133,vowel,a,mã,mỹ,mẽ,mỡ,1,easy,0
03464,mã,v02897,1133,onset,m,mã,đã,xã,ngã,1,easy,0
03465,mã,v02897,1133,final,,mã,mãi,mãn,mãnh,1,easy,0
03466,cảng,v00873,1134,tone,hoi,cảng,càng,cang,cáng,1,medium,0
03467,cảng,v00873,1134,vowel,a,cảng,cẳng,cổng,củng,1,medium,0
03468,cảng,v00873,1134,onset,c,cảng,quảng,đảng,giảng,1,easy,0
03469,cảng,v00873,1134,final,ng,cảng,cảnh,cản,cả,1,hard,0
03470,hoài,v01693,1135,tone,huyen,hoài,hoại,hoai,hoải,1,hard,0
03471,hoài,v01693,1135,onset,h,hoài,ngoài,loài,xoài,1,easy,0
03472,hoài,v01693,1135,final,i,hoài,hoàn,hoàng,hoà,1,easy,0
03473,bùi,v00158,1136,tone,huyen,bùi,bụi,bui,búi,1,hard,0
03474,bùi,v00158,1136,onset,b,bùi,mùi,lùi,đùi,1,easy,0
03475,thọ,v05317,1137,tone,nang,thọ,thò,thó,tho,1,hard,0
03476,thọ,v05317,1137,vowel,o,thọ,thị,thụ,thự,1,easy,0
03477,thọ,v05317,1137,onset,th,thọ,tọ,họ,trọ,1,medium,0
03478,thọ,v05317,1137,final,,thọ,thọc,thọt,thọn,1,easy,0
03479,trạm,v05581,1138,tone,nang,trạm,tràm,trám,tram,1,hard,0
03480,trạm,v05581,1138,onset,tr,trạm,chạm,phạm,tạm,1,medium,0
03481,trạm,v05581,1138,final,m,trạm,trạng,trại,trạch,1,easy,0
03482,đừng,v06950,1139,tone,huyen,đừng,đựng,đưng,đứng,1,hard,0
03483,đừng,v06950,1139,vowel,ư,đừng,đùng,đồng,đường,1,medium,0
03484,đừng,v06950,1139,onset,đ,đừng,từng,dừng,rừng,1,easy,0
03485,đâm,v06714,1140,tone,ngang,đâm,đầm,đấm,đậm,1,hard,0
03486,đâm,v06714,1140,vowel,â,đâm,đơm,đêm,đem,1,medium,0
03487,đâm,v06714,1140,onset,đ,đâm,tâm,âm,lâm,1,easy,0
03488,đâm,v06714,1140,final,m,đâm,đây,đâu,đân,1,easy,0
03489,cát,v00786,1141,vowel,a,cát,cắt,cất,cốt,1,medium,0
03490,cát,v00786,1141,onset,c,cát,phát,sát,hát,1,easy,0
03491,cát,v00786,1141,final,t,cát,các,cách,cáo,1,hard,0
03492,hiếu,v01666,1142,tone,sac,hiếu,hiệu,hiêu,hiểu,1,hard,0
03493,hiếu,v01666,1142,onset,h,hiếu,thiếu,phiếu,chiếu,1,easy,0
03494,hiếu,v01666,1142,final,u,hiếu,hiến,hiếm,hiếp,1,easy,0
03495,lừa,v02786,1143,tone,huyen,lừa,lựa,lửa,lưa,1,hard,0
03496,lừa,v02786,1143,vowel,ưa,lừa,là,lò,lồ,1,easy,0
03497,lừa,v02786,1143,onset,l,lừa,vừa,thừa,ngừa,1,easy,0
03498,lược,v02611,1144,vowel,ươ,lược,lực,lạc,lộc,1,easy,0
03499,lược,v02611,1144,onset,l,lược,được,ngược,dược,1,easy,0
03500,lược,v02611,1144,final,c,lược,lượt,lượng,lượn,1,medium,0
03501,mộ,v03086,1145,tone,nang,mộ,mồ,mố,mô,1,hard,0
